Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
119106,2020-08-02 07:55:28,377895991033232,"fraud_Bahringer, Schoen and Corkery",shopping_pos,1.07,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",1964-11-17,cf581d75ccc9ba838a05dec8bfa78b5b,1375430128,41.240083,-71.837788,0
179292,2020-08-23 14:05:16,30364087349027,"fraud_Romaguera, Wehner and Tromp",kids_pets,94.99,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,b1bfaf13224da41f422db483fd810dd7,1377266716,35.156537,-95.806648,0
540729,2020-12-28 16:22:29,30328384440870,fraud_Berge-Hills,kids_pets,31.28,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954-07-14,cde9fc0136873645778d0ad8817db655,1388247749,39.888665,-93.106804,0
374360,2020-11-14 10:44:50,30364087349027,"fraud_Connelly, Reichert and Fritsch",gas_transport,73.06,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,90b8429191e5c83df1afba4e5db4d61e,1384425890,36.734101,-96.737345,0
314574,2020-10-19 01:50:09,4198470814557,fraud_Kuphal-Predovic,misc_net,9.99,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1971-08-20,e4893795b6b3e41667129b9ed13b9650,1382147409,40.922072,-94.899388,0
377296,2020-11-15 17:04:04,213126662687660,"fraud_Kihn, Brakus and Goyette",personal_care,28.5,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,b76319f767c5b27731982851c12366ba,1384535044,27.480792,-99.711391,0
399943,2020-11-24 22:26:16,639023984367,"fraud_Roob, Conn and Tremblay",shopping_pos,9.09,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05,d21bc0886809d98c17b626db3c3c88d1,1385331976,44.774938,-74.50883,0
1481,2020-06-21 20:46:20,4990494243023,fraud_Fadel Inc,health_fitness,1.64,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,1960-12-13,2ee3bc727806dde7f17d20394297acd1,1371847580,40.213281,-78.469302,0
465665,2020-12-12 10:15:23,4452366298769043,"fraud_Stroman, Hudson and Erdman",gas_transport,55.9,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,1978-03-04,044fe6aac6c192d55144776bafdd0bd6,1386843323,32.600435,-97.304885,0
430957,2020-12-04 16:31:41,180094419304907,fraud_Weimann-Lockman,kids_pets,50.61,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,c397d59c441a8e74ffabd529da3cfb90,1386174701,34.302440999999995,-118.085049,0
50631,2020-07-08 09:28:37,2284059275940012,fraud_Dibbert and Sons,entertainment,2.35,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,1969-11-22,695c8ffd5e510d9b01455e0d77b4d6b4,1373275717,38.76271,-84.182873,0
312073,2020-10-18 05:04:28,213154573301411,fraud_Gislason Group,misc_pos,35.91,Christopher,Sheppard,M,39218 Baker Shoals,Bristow,IN,47515,38.1981,-86.6821,965,Horticultural therapist,1982-02-10,f9005efceb697e931f97c8bde065a760,1382072668,37.364532,-87.26940400000001,0
230636,2020-09-12 12:35:15,4642894980163,fraud_Nader-Maggio,personal_care,2.63,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,2310cccd8945d776190bad2bc43dc238,1378989315,39.911906,-95.621173,0
108247,2020-07-28 16:08:49,30131826429364,"fraud_Schneider, Hayes and Nikolaus",food_dining,127.16,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",1994-04-22,55707424c7dca4902d98337fdf4bf175,1375027729,36.094236,-85.027233,0
289179,2020-10-07 09:39:15,6011399591920186,fraud_Bradtke PLC,grocery_pos,125.11,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,4c61fb159872cc74472f8e4c0f99e4e9,1381138755,41.700562,-73.902571,0
189755,2020-08-26 14:17:33,4939976756738216,fraud_Pollich LLC,home,168.65,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,f9aac37cf794997b1a921a6780de44fc,1377526653,26.108628,-98.499544,0
214161,2020-09-05 07:45:48,376656886990758,"fraud_Adams, Kovacek and Kuhlman",grocery_net,66.36,Richard,Vance,M,169 Shelia Knoll Suite 753,Zavalla,TX,75980,31.1569,-94.3871,2836,"Designer, jewellery",1985-12-03,d8de70f22faf89eba93ea1061407b34f,1378367148,31.031393,-95.073598,0
268873,2020-09-28 19:22:16,567868110212,fraud_Spencer PLC,entertainment,91.11,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",1984-12-16,e0e374406780407dbc92f8bf769c3ed9,1380396136,29.575484000000003,-95.274885,0
362744,2020-11-09 05:48:59,4661996144291811856,"fraud_Moore, Dibbert and Koepp",misc_net,42.21,Linda,Park,F,24607 Charles Mountains,Fenelton,PA,16034,40.8555,-79.7372,2054,Operations geologist,1963-08-04,073e1dc01f024235bac8fb5f5d296123,1383976139,41.815741,-80.117685,0
59313,2020-07-12 04:25:37,4952583804639909,fraud_Stracke-Lemke,grocery_pos,127.2,Patricia,Rodriguez,F,386 Randolph Throughway,Warren,OH,44483,41.2639,-80.8164,75903,Magazine features editor,1957-04-05,949a457e253b44e800a9ffe7003c0dd3,1373603137,40.936662,-80.53641,0
340298,2020-10-30 08:17:46,371683116218417,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,5.22,Debra,Becker,F,384 Jonathan Hills,Iselin,NJ,8830,40.5716,-74.3167,18459,Emergency planning/management officer,1929-03-19,2ecc549ad0e80e28101478ced847f56d,1383121066,39.996697,-73.755876,0
433331,2020-12-05 08:20:54,4839615922685395,fraud_Murray-Smitham,grocery_pos,144.89,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,47434,39.013000000000005,-86.5457,76,Social researcher,1955-05-06,ffcb69f74e7248d9efe114a7c72a3666,1386231654,39.126135,-85.593568,0
487659,2020-12-16 15:47:56,4089096483689733451,fraud_Lynch Ltd,shopping_pos,206.0,Debra,Stark,F,686 Linda Rest,Kilgore,TX,75662,32.3836,-94.8653,24536,Multimedia programmer,1983-10-14,c06ced7be531869931eef8820403493e,1387208876,31.88288,-94.117197,0
169853,2020-08-19 13:16:31,4514242065619750,"fraud_Schiller, Blanda and Johnson",home,81.54,Janet,Carpenter,F,9870 Collins Flat,Laramie,WY,82072,41.4247,-105.4781,35371,"Pilot, airline",1988-09-02,fd03bbde83f679fe9729afd6dcdab03f,1376918191,41.423412,-105.561451,0
405088,2020-11-27 23:20:46,30199621383748,fraud_Shields-Wunsch,health_fitness,34.34,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,fbfb50a7de3bb925a08a647909e8dadd,1385594446,34.044204,-97.094387,0
113870,2020-07-31 03:28:38,4294040533480516,fraud_Cummings LLC,gas_transport,58.25,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413000000000004,-81.69,2206,Biomedical scientist,1986-12-31,1de402c4aad01bd423aac9327e3e6caa,1375241318,33.763378,-81.15645400000001,0
180419,2020-08-23 20:52:31,372509258176510,fraud_Abshire PLC,entertainment,113.8,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1985-06-18,0f6b653467314831d305c084953bb8c6,1377291151,41.954107,-82.973869,0
504289,2020-12-20 20:36:07,30408301059761,fraud_Turner LLC,travel,4.38,Brandon,Pittman,M,2881 Frey Village,Cross,SC,29436,33.3364,-80.1859,4471,Occupational hygienist,1973-10-09,8c3fd55d45ec684c7565286d48100532,1387571767,34.233674,-80.951465,0
327281,2020-10-24 21:08:46,6011381817520024,fraud_Medhurst PLC,shopping_net,6.5,Kristen,Allen,F,8619 Lisa Manors Apt. 871,Lagrange,WY,82221,41.6423,-104.1974,635,Product/process development scientist,1973-07-13,226935a0b89d9b0affa0a4948c3035b4,1382648926,41.140614,-104.672583,0
505273,2020-12-20 23:55:37,30044330818990,fraud_Morissette-Schaefer,personal_care,7.66,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,b66f4d1391d0b9a00c449c6196b6a15b,1387583737,26.287201,-81.173775,0
377092,2020-11-15 15:38:20,4658117080136,fraud_Hickle Group,shopping_pos,7.84,Dwayne,Martinez,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,1989-04-08,abef6c67be2844f0a7c1d7b38c417006,1384529900,35.800258,-108.217653,0
451792,2020-12-08 16:28:39,3564839259330465,fraud_Yost-Rogahn,personal_care,32.81,Robert,Ashley,M,1250 Christopher Prairie Suite 016,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,1959-03-31,265f9600b5e5b74a64b92862a0be5982,1386520119,37.691858,-123.01148700000002,0
534672,2020-12-27 15:58:46,6011329966782895,fraud_Bahringer Group,health_fitness,19.03,Lauren,Butler,F,030 Seth Divide Suite 355,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",1971-09-01,51bec443c9165f3c702c879cf2c33571,1388159926,36.275786,-95.511581,0
356893,2020-11-06 17:11:31,4334230547694630,fraud_Abshire PLC,entertainment,19.85,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,df32d1f37653497ccef0e3abcdd84d40,1383757891,43.927823,-111.879218,0
336979,2020-10-28 07:29:08,3567527758368741,fraud_Dach-Borer,grocery_net,37.77,Amanda,Vance,F,14601 Downs Skyway Apt. 440,Sterling City,TX,76951,31.8351,-101.0017,1143,"Scientist, biomedical",1962-03-19,24c240bf32a012710fa7f07acb3cdb46,1382945348,31.255145,-100.86504,0
512486,2020-12-22 03:52:38,676372984911,fraud_Kling Inc,gas_transport,49.79,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,cf39070cd201d4140d7350600f914014,1387684358,39.960601,-97.946173,0
525381,2020-12-25 11:08:26,6517217825320610,fraud_Jast Ltd,shopping_net,4.43,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",1958-06-11,21f2ae535a39097659a46b7ef2039f57,1387969706,30.989790000000003,-90.716688,0
328596,2020-10-25 12:16:21,3521417320836166,fraud_Windler LLC,kids_pets,80.19,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,1975-11-30,62f314eaac6b58b49c2d33aed0bfbf72,1382703381,39.633933,-86.024137,0
454646,2020-12-09 04:41:13,5359543825610251,"fraud_Schaefer, Maggio and Daugherty",gas_transport,74.68,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,81a8495540ddcf34de55cca0e4eb5b0f,1386564073,44.994609,-110.911611,0
89892,2020-07-21 23:39:07,213178765398315,fraud_Goyette-Herzog,travel,4.84,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,a479064b9acfcd37b614a61cc6a5cfe9,1374449947,43.952963,-108.554846,0
48517,2020-07-07 15:56:57,4997733566924489,"fraud_Heathcote, Yost and Kertzmann",shopping_net,4.49,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1971-08-06,d6128ab7b1b3d89d09ad3a3a35a6570d,1373212617,43.995637,-92.077391,0
79705,2020-07-19 10:03:54,3543591270174051,fraud_Luettgen PLC,gas_transport,66.76,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1972-10-04,d96958d06bbcbdae54aa170c936c31f3,1374228234,39.863576,-78.569676,0
147222,2020-08-11 11:55:35,36722699017270,fraud_Kemmer-Buckridge,misc_pos,21.86,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,8672f9c2dd0cbade577cc2fefab7eb67,1376222135,32.981611,-111.974903,0
382933,2020-11-17 13:34:52,180031190491743,"fraud_Konopelski, Schneider and Hartmann",food_dining,45.02,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,984b839b8ec08516e21b86c457527b38,1384695292,31.146409,-88.135539,0
182395,2020-08-24 10:41:28,4861310130652566408,fraud_DuBuque LLC,grocery_pos,248.24,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",1977-12-16,96639ab4462f6b6bacc276e17f0fc770,1377340888,29.952493,-90.603721,0
